id,label,statement_score,subject-ciencia_y_tecnologia,subject-economia_y_finanzas,subject-educacion,subject-medio_ambiente_y_energia,subject-otros,subject-politica_y_gobierno,subject-relaciones_internacionales,subject-salud_y_bienestar,subject-seguridad_y_justicia,subject-sociedad_y_cultura,subject-trabajo_y_empleo,speaker_grouped_barack-obama,speaker_grouped_chain-email,speaker_grouped_donald-trump,speaker_grouped_hillary-clinton,speaker_grouped_john-mccain,speaker_grouped_marco-rubio,speaker_grouped_mitt-romney,speaker_grouped_other_speakers,speaker_grouped_rick-perry,speaker_grouped_rick-scott,speaker_grouped_scott-walker,speaker_job_grouped_business_professional,speaker_job_grouped_federal_legislative_candidate,speaker_job_grouped_federal_legislative_leader,speaker_job_grouped_federal_legislator_house,speaker_job_grouped_federal_legislator_senate,speaker_job_grouped_governor,speaker_job_grouped_legal_professional,speaker_job_grouped_local_education_official,speaker_job_grouped_local_executive,speaker_job_grouped_other_speaker_job,speaker_job_grouped_party_leader,speaker_job_grouped_political_advisor,speaker_job_grouped_political_organization,speaker_job_grouped_president,speaker_job_grouped_presidential_candidate,speaker_job_grouped_public_communicator,speaker_job_grouped_state_executive,speaker_job_grouped_state_legislator_house,speaker_job_grouped_state_legislator_senate,state_info_grouped_arizona,state_info_grouped_california,state_info_grouped_florida,state_info_grouped_georgia,state_info_grouped_illinois,state_info_grouped_massachusetts,state_info_grouped_new jersey,state_info_grouped_new york,state_info_grouped_ohio,state_info_grouped_oregon,state_info_grouped_other_state_info,state_info_grouped_rhode island,state_info_grouped_texas,state_info_grouped_virginia,state_info_grouped_washington dc,state_info_grouped_wisconsin,party_group_democrat,party_group_independent_None,party_group_media,party_group_official,party_group_organization,party_group_other,party_group_republican,party_group_third_Party
81f884c64a7,1,1.3133670217525077,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30c2723a188,0,-2.2880867681425,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6936b216e5d,0,-0.9960923993418618,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
b5cd9195738,1,-2.3219375951851062,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
84f8dac7737,0,-3.8244823535276997,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
d22b78a1570,1,0.48674642699308146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
df58c465da8,0,-1.611286803615954,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
62d339fd0aa,1,1.7399282398274862,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32c82086791,0,-1.135551948051948,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
f3aadc05597,0,-0.6824627456889547,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
